Slot,Count
0,0
1,4
2,1
3,0
4,0
5,1
6,4
7,2
8,0
9,1
10,2
11,2
12,3
13,2
14,0
15,1
16,0
17,3
18,0
19,3
20,0
21,2
22,3
23,0
24,0
25,0
26,1
27,1
28,0
29,2
30,0
31,0
32,1
33,0
34,0
35,3
36,4
37,0
38,1
39,1
40,0
41,3
42,0
43,1
44,4
45,1
46,2
47,1
48,0
49,3
50,2
51,1
52,1
53,2
54,1
55,1
56,0
57,0
58,2
59,1
60,1
61,1
62,3
63,3
64,1
65,0
66,0
67,0
68,2
69,0
70,1
71,1
72,0
73,2
74,0
75,3
76,0
77,1
78,1
79,1
80,0
81,2
82,0
83,1
84,2
85,0
86,1
87,1
88,3
89,0
90,0
91,0
92,1
93,0
94,0
95,2
96,0
97,1
98,2
99,1
100,0
101,0
102,2
103,1
104,1
105,1
106,0
107,0
108,2
109,0
110,0
111,2
112,2
113,0
114,3
115,3
116,2
117,2
118,0
119,0
120,0
121,2
122,0
123,1
124,1
125,0
126,0
127,2
128,1
129,2
130,0
131,2
132,0
133,2
134,1
135,1
136,4
137,0
138,1
139,1
140,1
141,0
142,0
143,1
144,1
145,1
146,1
147,0
148,2
149,0
150,0
151,1
152,2
153,0
154,3
155,2
156,0
157,1
158,1
159,3
160,1
161,1
162,3
163,0
164,0
165,0
166,0
167,1
168,1
169,0
170,3
171,0
172,0
173,1
174,2
175,1
176,1
177,1
178,3
179,0
180,1
181,1
182,0
183,1
184,0
185,0
186,0
187,0
188,0
189,0
190,1
191,1
192,2
193,1
194,0
195,1
196,0
197,0
198,3
199,1
200,0
201,0
202,0
203,0
204,1
205,0
206,3
207,0
208,1
209,0
210,1
211,1
212,1
213,1
214,0
215,3
216,1
217,0
218,2
219,2
220,2
221,0
222,2
223,3
224,0
225,0
226,1
227,2
228,0
229,3
230,1
231,1
232,1
233,2
234,3
235,2
236,0
237,1
238,0
239,0
240,2
241,1
242,2
243,1
244,2
245,1
246,1
247,1
248,0
249,5
250,0
251,1
252,0
253,3
254,2
255,3
256,2
257,0
258,0
259,2
260,0
261,0
262,0
263,2
264,1
265,5
266,6
267,2
268,1
269,3
270,1
271,0
272,1
273,0
274,1
275,1
276,3
277,1
278,1
279,1
280,1
281,1
282,1
283,0
284,2
285,2
286,1
287,0
288,0
289,1
290,1
291,0
292,2
293,2
294,2
295,0
296,2
297,0
298,1
299,0
300,0
301,2
302,1
303,2
304,1
305,0
306,1
307,0
308,2
309,0
310,0
311,0
312,1
313,0
314,0
315,1
316,1
317,2
318,1
319,2
320,0
321,1
322,1
323,0
324,0
325,1
326,1
327,3
328,2
329,1
330,0
331,0
332,0
333,1
334,3
335,3
336,0
337,0
338,2
339,1
340,2
341,3
342,0
343,4
344,0
345,0
346,1
347,2
348,0
349,0
350,3
351,2
352,3
353,0
354,3
355,0
356,1
357,0
358,0
359,1
360,2
361,2
362,1
363,0
364,0
365,0
366,1
367,1
368,1
369,0
370,0
371,1
372,0
373,1
374,2
375,3
376,1
377,2
378,1
379,0
380,0
381,2
382,1
383,2
384,2
385,1
386,0
387,1
388,0
389,2
390,1
391,1
392,0
393,0
394,3
395,1
396,1
397,0
398,2
399,1
400,0
401,0
402,1
403,3
404,0
405,1
406,1
407,1
408,4
409,1
410,0
411,2
412,3
413,0
414,1
415,0
416,0
417,1
418,2
419,0
420,6
421,1
422,1
423,2
424,1
425,1
426,2
427,0
428,0
429,1
430,3
431,0
432,2
433,3
434,1
435,0
436,2
437,3
438,1
439,1
440,0
441,0
442,1
443,0
444,0
445,2
446,1
447,1
448,1
449,0
450,0
451,1
452,1
453,1
454,2
455,1
456,1
457,0
458,0
459,1
460,1
461,0
462,0
463,1
464,1
465,1
466,2
467,1
468,0
469,3
470,1
471,0
472,1
473,1
474,2
475,0
476,1
477,3
478,1
479,1
480,2
481,0
482,1
483,1
484,1
485,1
486,1
487,1
488,0
489,2
490,0
491,2
492,1
493,0
494,1
495,0
496,2
497,0
498,2
499,1
500,1
501,0
502,0
503,0
504,1
505,1
506,0
507,2
508,0
509,1
510,0
511,3
512,1
513,0
514,4
515,1
516,1
517,0
518,0
519,1
520,1
521,0
522,4
523,1
524,2
525,0
526,1
527,1
528,1
529,2
530,1
531,0
532,1
533,0
534,1
535,1
536,1
537,0
538,1
539,2
540,0
541,1
542,0
543,0
544,0
545,0
546,0
547,0
548,2
549,1
550,1
551,0
552,3
553,3
554,1
555,0
556,2
557,0
558,2
559,1
560,2
561,0
562,2
563,0
564,1
565,0
566,2
567,1
568,0
569,0
570,0
571,0
572,1
573,0
574,2
575,1
576,2
577,0
578,0
579,1
580,2
581,0
582,0
583,2
584,0
585,1
586,1
587,0
588,1
589,1
590,1
591,0
592,1
593,0
594,2
595,1
596,2
597,0
598,1
599,1
600,0
601,0
602,1
603,1
604,0
605,0
